id,activity_date,total_steps,total_distance,tracker_distance,logged_activities_distance,very_active_distance,moderately_active_distance,light_active_distance,sedentary_active_distance,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories,day_of_week,is_weekend,total_active_minutes,sedentary_ratio,activity_level
1503960366,2016-04-12,13162,8.5,8.5,0,1.87999999523163,0.550000011920929,6.05999994277954,0,25,13,328,728,1985,Tue,Weekday,366,0.6654478976234004,High
1503960366,2016-04-13,10735,6.96999979019165,6.96999979019165,0,1.57000005245209,0.689999997615814,4.71000003814697,0,21,19,217,776,1797,Wed,Weekday,257,0.7512100677637947,High
1503960366,2016-04-14,10460,6.73999977111816,6.73999977111816,0,2.44000005722046,0.400000005960464,3.91000008583069,0,30,11,181,1218,1776,Thu,Weekday,222,0.8458333333333333,High
1503960366,2016-04-15,9762,6.28000020980835,6.28000020980835,0,2.14000010490417,1.25999999046326,2.82999992370605,0,29,34,209,726,1745,Fri,Weekday,272,0.7274549098196392,Moderate
1503960366,2016-04-16,12669,8.15999984741211,8.15999984741211,0,2.71000003814697,0.409999996423721,5.03999996185303,0,36,10,221,773,1863,Sat,Weekend,267,0.7432692307692308,High
1503960366,2016-04-17,9705,6.48000001907349,6.48000001907349,0,3.19000005722046,0.779999971389771,2.50999999046326,0,38,20,164,539,1728,Sun,Weekend,222,0.7082785808147175,Moderate
1503960366,2016-04-18,13019,8.59000015258789,8.59000015258789,0,3.25,0.639999985694885,4.71000003814697,0,42,16,233,1149,1921,Mon,Weekday,291,0.7979166666666667,High
1503960366,2016-04-19,15506,9.88000011444092,9.88000011444092,0,3.52999997138977,1.32000005245209,5.03000020980835,0,50,31,264,775,2035,Tue,Weekday,345,0.6919642857142857,High
1503960366,2016-04-20,10544,6.67999982833862,6.67999982833862,0,1.96000003814697,0.479999989271164,4.23999977111816,0,28,12,205,818,1786,Wed,Weekday,245,0.7695202257761053,High
1503960366,2016-04-21,9819,6.34000015258789,6.34000015258789,0,1.3400000333786,0.349999994039536,4.65000009536743,0,19,8,211,838,1775,Thu,Weekday,238,0.7788104089219331,Moderate
1503960366,2016-04-22,12764,8.13000011444092,8.13000011444092,0,4.76000022888184,1.12000000476837,2.24000000953674,0,66,27,130,1217,1827,Fri,Weekday,223,0.8451388888888889,High
1503960366,2016-04-23,14371,9.03999996185303,9.03999996185303,0,2.80999994277954,0.870000004768372,5.3600001335144,0,41,21,262,732,1949,Sat,Weekend,324,0.6931818181818182,High
1503960366,2016-04-24,10039,6.40999984741211,6.40999984741211,0,2.92000007629395,0.209999993443489,3.27999997138977,0,39,5,238,709,1788,Sun,Weekend,282,0.715438950554995,High
1503960366,2016-04-25,15355,9.80000019073486,9.80000019073486,0,5.28999996185303,0.569999992847443,3.94000005722046,0,73,14,216,814,2013,Mon,Weekday,303,0.7287376902417189,High
1503960366,2016-04-26,13755,8.78999996185303,8.78999996185303,0,2.32999992370605,0.920000016689301,5.53999996185303,0,31,23,279,833,1970,Tue,Weekday,333,0.7144082332761578,High
1503960366,2016-04-27,18134,12.210000038147,12.210000038147,0,6.40000009536743,0.409999996423721,5.40999984741211,0,78,11,243,1108,2159,Wed,Weekday,332,0.7694444444444445,High
1503960366,2016-04-28,13154,8.52999973297119,8.52999973297119,0,3.53999996185303,1.1599999666214,3.78999996185303,0,48,28,189,782,1898,Thu,Weekday,265,0.7468958930276982,High
1503960366,2016-04-29,11181,7.15000009536743,7.15000009536743,0,1.05999994277954,0.5,5.57999992370605,0,16,12,243,815,1837,Fri,Weekday,271,0.7504604051565378,High
1503960366,2016-04-30,14673,9.25,9.25,0,3.55999994277954,1.41999995708466,4.26999998092651,0,52,34,217,712,1947,Sat,Weekend,303,0.7014778325123153,High
1503960366,2016-05-01,10602,6.80999994277954,6.80999994277954,0,2.28999996185303,1.60000002384186,2.92000007629395,0,33,35,246,730,1820,Sun,Weekend,314,0.6992337164750958,High
1503960366,2016-05-02,14727,9.71000003814697,9.71000003814697,0,3.21000003814697,0.569999992847443,5.92000007629395,0,41,15,277,798,2004,Mon,Weekday,333,0.7055702917771883,High
1503960366,2016-05-03,15103,9.65999984741211,9.65999984741211,0,3.73000001907349,1.04999995231628,4.88000011444092,0,50,24,254,816,1990,Tue,Weekday,328,0.7132867132867133,High
1503960366,2016-05-04,11100,7.15000009536743,7.15000009536743,0,2.46000003814697,0.870000004768372,3.8199999332428,0,36,22,203,1179,1819,Wed,Weekday,261,0.81875,High
1503960366,2016-05-05,14070,8.89999961853027,8.89999961853027,0,2.92000007629395,1.08000004291534,4.88000011444092,0,45,24,250,857,1959,Thu,Weekday,319,0.7287414965986394,High
1503960366,2016-05-06,12159,8.02999973297119,8.02999973297119,0,1.97000002861023,0.25,5.80999994277954,0,24,6,289,754,1896,Fri,Weekday,319,0.7027027027027027,High
1503960366,2016-05-07,11992,7.71000003814697,7.71000003814697,0,2.46000003814697,2.11999988555908,3.13000011444092,0,37,46,175,833,1821,Sat,Weekend,258,0.763519706691109,High
1503960366,2016-05-08,10060,6.57999992370605,6.57999992370605,0,3.52999997138977,0.319999992847443,2.73000001907349,0,44,8,203,574,1740,Sun,Weekend,255,0.6924004825090471,High
1503960366,2016-05-09,12022,7.71999979019165,7.71999979019165,0,3.45000004768372,0.529999971389771,3.74000000953674,0,46,11,206,835,1819,Mon,Weekday,263,0.7604735883424408,High
1503960366,2016-05-10,12207,7.76999998092651,7.76999998092651,0,3.34999990463257,1.1599999666214,3.25999999046326,0,46,31,214,746,1859,Tue,Weekday,291,0.7193828351012537,High
1503960366,2016-05-11,12770,8.13000011444092,8.13000011444092,0,2.55999994277954,1.00999999046326,4.55000019073486,0,36,23,251,669,1783,Wed,Weekday,310,0.6833503575076609,High
1503960366,2016-05-12,0,0,0,0,0,0,0,0,0,0,0,1440,0,Thu,Weekday,0,1,Low
1624580081,2016-04-12,8163,5.30999994277954,5.30999994277954,0,0,0,5.30999994277954,0,0,0,146,1294,1432,Tue,Weekday,146,0.8986111111111111,Moderate
1624580081,2016-04-13,7007,4.55000019073486,4.55000019073486,0,0,0,4.55000019073486,0,0,0,148,1292,1411,Wed,Weekday,148,0.8972222222222223,Moderate
1624580081,2016-04-14,9107,5.92000007629395,5.92000007629395,0,0,0,5.90999984741211,0.00999999977648258,0,0,236,1204,1572,Thu,Weekday,236,0.8361111111111111,Moderate
1624580081,2016-04-15,1510,0.980000019073486,0.980000019073486,0,0,0,0.970000028610229,0,0,0,96,1344,1344,Fri,Weekday,96,0.9333333333333333,Low
1624580081,2016-04-16,5370,3.49000000953674,3.49000000953674,0,0,0,3.49000000953674,0,0,0,176,1264,1463,Sat,Weekend,176,0.8777777777777778,Moderate
1624580081,2016-04-17,6175,4.05999994277954,4.05999994277954,0,1.02999997138977,1.51999998092651,1.49000000953674,0.00999999977648258,15,22,127,1276,1554,Sun,Weekend,164,0.8861111111111111,Moderate
1624580081,2016-04-18,10536,7.40999984741211,7.40999984741211,0,2.15000009536743,0.620000004768372,4.61999988555908,0.00999999977648258,17,7,202,1214,1604,Mon,Weekday,226,0.8430555555555556,High
1624580081,2016-04-19,2916,1.89999997615814,1.89999997615814,0,0,0,1.89999997615814,0,0,0,141,1299,1435,Tue,Weekday,141,0.9020833333333333,Low
1624580081,2016-04-20,4974,3.23000001907349,3.23000001907349,0,0,0,3.23000001907349,0,0,0,151,1289,1446,Wed,Weekday,151,0.8951388888888889,Low
1624580081,2016-04-21,6349,4.13000011444092,4.13000011444092,0,0,0,4.1100001335144,0.0199999995529652,0,0,186,1254,1467,Thu,Weekday,186,0.8708333333333333,Moderate
1624580081,2016-04-22,4026,2.61999988555908,2.61999988555908,0,0,0,2.59999990463257,0,0,0,199,1241,1470,Fri,Weekday,199,0.8618055555555556,Low
1624580081,2016-04-23,8538,5.55000019073486,5.55000019073486,0,0,0,5.53999996185303,0.00999999977648258,0,0,227,1213,1562,Sat,Weekend,227,0.8423611111111111,Moderate
1624580081,2016-04-24,6076,3.95000004768372,3.95000004768372,0,1.14999997615814,0.910000026226044,1.88999998569489,0,16,18,185,1221,1617,Sun,Weekend,219,0.8479166666666667,Moderate
1624580081,2016-04-25,6497,4.21999979019165,4.21999979019165,0,0,0,4.19999980926514,0.0199999995529652,0,0,202,1238,1492,Mon,Weekday,202,0.8597222222222223,Moderate
1624580081,2016-04-26,2826,1.8400000333786,1.8400000333786,0,0,0,1.83000004291534,0.00999999977648258,0,0,140,1300,1402,Tue,Weekday,140,0.9027777777777778,Low
1624580081,2016-04-27,8367,5.44000005722046,5.44000005722046,0,1.11000001430511,1.87000000476837,2.46000003814697,0,17,36,154,1233,1670,Wed,Weekday,207,0.85625,Moderate
1624580081,2016-04-28,2759,1.78999996185303,1.78999996185303,0,0,0.200000002980232,1.60000002384186,0,0,5,115,1320,1401,Thu,Weekday,120,0.9166666666666666,Low
1624580081,2016-04-29,2390,1.54999995231628,1.54999995231628,0,0,0,1.54999995231628,0,0,0,150,1290,1404,Fri,Weekday,150,0.8958333333333334,Low
1624580081,2016-04-30,6474,4.30000019073486,4.30000019073486,0,0.899999976158142,1.27999997138977,2.11999988555908,0.00999999977648258,11,23,224,1182,1655,Sat,Weekend,258,0.8208333333333333,Moderate
1624580081,2016-05-01,36019,28.0300006866455,28.0300006866455,0,21.9200000762939,4.19000005722046,1.9099999666214,0.0199999995529652,186,63,171,1020,2690,Sun,Weekend,420,0.7083333333333334,High
